dew,temp,press,wnd_dir,wnd_spd,snow,rain,pollution
-24,-11,1032,NE,41.14,0,0,39
-22,-11,1032,cv,0.89,0,0,41
-23,-11,1031,NW,1.79,0,0,33
-24,-11,1031,NW,3.58,0,0,50
-23,-11,1031,NW,5.37,0,0,56
-23,-11,1032,NW,7.16,0,0,59
-22,-13,1033,NW,10.29,0,0,60
-22,-12,1033,NW,13.42,0,0,84
-24,-18,1033,NW,16.55,0,0,106
-22,-13,1034,NW,20.57,0,0,66
-22,-16,1033,NW,23.7,0,0,50
-25,-17,1033,NW,26.83,0,0,56
-25,-14,1033,NE,4.02,0,0,77
-26,-14,1034,NE,8.04,0,0,50
-26,-14,1033,NE,13.85,0,0,44
-26,-14,1033,NE,17.87,0,0,27
-26,-14,1033,NE,23.68,0,0,28
-26,-14,1033,NE,28.6,0,0,21
-26,-15,1034,NE,33.52,0,0,25
-26,-14,1034,NE,39.33,0,0,20
-25,-13,1035,NE,44.25,0,0,29
-25,-12,1035,NE,50.06,0,0,34
-24,-11,1035,NE,54.98,0,0,42
-24,-10,1034,NE,59,0,0,28
-22,-10,1033,NW,4.02,0,0,36
-22,-9,1033,NW,5.81,0,0,48
-22,-8,1033,cv,0.89,0,0,49
-22,-8,1033,NW,1.79,0,0,52
-21,-9,1033,NW,3.58,0,0,56
-22,-9,1033,NW,5.37,0,0,96
-22,-14,1034,cv,0.89,0,0,75
-22,-12,1035,NW,1.79,0,0,105
-21,-14,1034,NW,3.58,0,0,132
-22,-16,1035,NW,5.37,0,0,93
-21,-16,1035,NW,7.16,0,0,131
-21,-16,1035,NW,8.95,0,0,127
-21,-16,1035,cv,0.45,0,0,130
-22,-18,1036,cv,1.34,0,0,43
-23,-15,1036,NW,4.02,0,0,37
-24,-16,1035,NW,7.15,0,0,30
-25,-15,1035,NW,10.28,0,0,28
-24,-15,1035,NW,14.3,0,0,24
-25,-13,1036,NE,4.92,0,0,23
-24,-14,1036,NW,4.02,0,0,24
-23,-12,1036,NW,8.94,0,0,27
-22,-11,1036,NW,12.96,0,0,40
-20,-10,1036,NW,16.09,0,0,42
-21,-9,1035,NW,19.22,0,0,42
-21,-8,1034,NW,21.01,0,0,55
-20,-7,1033,NW,22.8,0,0,52
-20,-7,1032,NW,24.59,0,0,51
-18,-8,1032,NW,26.38,0,0,57
-19,-9,1032,NW,28.17,0,0,50
-19,-11,1032,NE,0.89,0,0,54
-18,-11,1033,NW,1.79,0,0,67
-19,-15,1032,NE,1.79,0,0,106
-19,-14,1032,cv,0.45,0,0,159
-21,-14,1032,cv,1.34,0,0,198
-21,-16,1032,cv,2.23,0,0,190
-21,-17,1031,NW,1.79,0,0,210
-19,-16,1031,NW,3.58,0,0,195
-20,-16,1031,NE,0.89,0,0,275
-19,-15,1030,SE,0.89,0,0,164
-18,-15,1030,cv,0.45,0,0,110
-18,-15,1029,cv,1.34,0,0,100
-18,-15,1029,NW,1.79,0,0,81
-16,-13,1029,NE,0.89,0,0,71
-16,-12,1029,SE,0.89,0,0,66
-16,-12,1030,SE,1.78,0,0,92
-17,-10,1030,NE,0.89,0,0,135
-16,-10,1029,cv,0.89,0,0,155
-16,-9,1028,SE,3.13,0,0,198
-15,-8,1026,SE,4.92,0,0,250
-16,-8,1026,cv,0.89,0,0,200
-16,-8,1025,cv,1.78,0,0,231
-16,-8,1025,cv,2.67,0,0,250
-17,-8,1025,SE,0.89,0,0,212
-17,-9,1026,cv,0.45,0,0,219
-17,-11,1026,cv,1.34,0,0,227
-17,-12,1026,cv,1.79,0,0,226
-18,-14,1027,NW,1.79,0,0,225
-16,-9,1027,NW,4.92,0,0,168
-16,-11,1027,NW,6.71,0,0,169
-17,-13,1027,cv,0.89,0,0,165
-17,-13,1027,NW,3.13,0,0,159
-17,-14,1027,NW,4.92,0,0,167
-17,-15,1027,NW,8.05,0,0,196
-17,-13,1027,NW,9.84,0,0,169
-19,-16,1027,NW,13.86,0,0,155
-18,-15,1027,NW,17.88,0,0,119
-19,-15,1027,NW,21.9,0,0,106
-18,-14,1028,NW,25.92,0,0,93
-18,-9,1029,NE,5.81,0,0,84
-17,-7,1029,NE,11.62,0,0,73
-17,-6,1030,NE,17.43,0,0,66
-16,-6,1029,NE,23.24,0,0,40
-16,-5,1029,NE,28.16,0,0,49
-15,-4,1029,NE,33.08,0,0,50
-14,-4,1028,NE,37.1,0,0,49
-15,-4,1029,NE,38.89,0,0,41
-15,-4,1030,NW,1.79,0,0,37
-15,-7,1030,NE,3.13,0,0,45
-15,-6,1031,NW,3.13,0,0,44
-15,-7,1032,NW,4.92,0,0,54
-15,-6,1032,NE,3.13,0,0,50
-15,-8,1033,cv,0.45,0,0,47
-15,-8,1033,cv,0.9,0,0,66
-15,-11,1033,NW,0.89,0,0,75
-17,-13,1033,NW,1.78,0,0,82
-17,-12,1033,NW,4.91,0,0,66
-17,-13,1033,NW,8.04,0,0,83
-19,-14,1032,NW,9.83,0,0,62
-18,-13,1032,NW,12.96,0,0,40
-19,-13,1032,NW,16.09,0,0,23
-19,-14,1033,NW,19.22,0,0,25
-19,-14,1034,NW,22.35,0,0,27
-17,-12,1033,NW,24.14,0,0,35
-16,-7,1033,NE,4.02,0,0,50
-15,-7,1033,NW,3.13,0,0,70
-15,-7,1032,NW,6.26,0,0,75
-14,-6,1031,NW,9.39,0,0,58
-14,-6,1031,NW,12.52,0,0,70
-13,-5,1030,NW,14.31,0,0,68
-14,-5,1031,NW,16.1,0,0,71
-14,-6,1031,NW,19.23,0,0,88
-13,-7,1032,NW,23.25,0,0,84
-15,-6,1032,NW,27.27,0,0,83
-15,-6,1033,NW,30.4,0,0,66
-15,-4,1034,NW,35.32,0,0,27
-16,-4,1034,NW,44.26,0,0,24
-17,-5,1035,NW,52.31,0,0,22
-17,-6,1035,NW,60.36,0,0,23
-17,-8,1035,cv,0.89,0,0,27
-19,-11,1036,NW,4.02,0,0,23
-20,-11,1036,NW,8.94,0,0,17
-21,-11,1035,NE,4.02,0,0,17
-22,-12,1035,NW,3.13,0,0,16
-22,-12,1035,NE,4.92,0,0,16
-22,-13,1036,NW,5.81,0,0,20
-22,-9,1036,NW,13.86,0,0,20
-22,-10,1036,NW,21.91,0,0,18
-22,-9,1036,NW,29.06,0,0,25
-21,-9,1036,NW,33.08,0,0,26
-20,-6,1035,NW,42.02,0,0,27
-19,-5,1034,NW,50.96,0,0,28
-19,-5,1033,NW,59.01,0,0,15
-20,-5,1033,NW,66.16,0,0,24
-20,-5,1032,NW,71.97,0,0,13
-20,-5,1033,NW,76.89,0,0,13
-20,-7,1033,NW,81.81,0,0,13
-22,-7,1033,NW,85.83,0,0,17
-22,-8,1033,NW,89.85,0,0,20
-23,-10,1033,NW,91.64,0,0,27
-23,-13,1033,NW,93.43,0,0,20
-22,-12,1032,cv,0.89,0,0,15
-22,-15,1031,cv,1.78,0,0,21
-22,-14,1031,NE,1.79,0,0,21
-22,-14,1031,NW,0.89,0,0,37
-24,-18,1030,NE,1.79,0,0,26
-24,-13,1030,NE,3.58,0,0,15
-25,-14,1030,NW,3.13,0,0,9
-24,-14,1030,NW,7.15,0,0,11
-25,-12,1030,NW,12.96,0,0,11
-26,-14,1030,NW,16.98,0,0,16
-25,-12,1031,NW,21,0,0,13
-25,-11,1031,NW,26.81,0,0,15
-24,-11,1030,NW,35.75,0,0,21
-23,-11,1029,NW,47.82,0,0,24
-22,-11,1029,NW,63.02,0,0,22
-23,-11,1029,NW,75.98,0,0,22
-22,-11,1029,NW,88.05,0,0,22
-23,-11,1030,NW,101.01,0,0,19
-24,-11,1030,NW,109.06,0,0,23
-24,-11,1032,NW,118,0,0,25
-23,-11,1032,NW,126.05,0,0,25
-23,-12,1032,NW,134.1,0,0,31
-24,-12,1033,NW,142.15,0,0,25
-23,-12,1033,NW,150.2,0,0,22
-23,-12,1034,NW,160.03,0,0,22
-24,-12,1034,NW,169.86,0,0,15
-24,-12,1033,NW,178.8,0,0,16
-25,-12,1033,NW,189.98,0,0,11
-24,-13,1033,NW,198.03,0,0,11
-25,-12,1032,NW,205.18,0,0,12
-25,-12,1033,NW,215.01,0,0,11
-25,-12,1032,NW,226.19,0,0,12
-25,-12,1032,NW,235.13,0,0,27
-25,-12,1032,NW,243.18,0,0,28
-23,-11,1033,NW,252.12,0,0,34
-23,-10,1033,NW,257.93,0,0,33
-22,-9,1033,NW,263.74,0,0,36
-21,-8,1031,NW,270.89,0,0,26
-21,-6,1030,NW,278.94,0,0,49
-20,-5,1029,NW,286.99,0,0,52
-22,-5,1028,NW,294.14,0,0,47
-21,-5,1028,NW,299.06,0,0,47
-19,-7,1028,SE,1.79,0,0,39
-19,-8,1028,cv,0.45,0,0,59
-20,-9,1028,cv,1.34,0,0,76
-19,-10,1027,SE,1.79,0,0,96
-19,-13,1027,cv,0.89,0,0,95
-18,-12,1027,cv,1.78,0,0,68
-18,-13,1027,NE,0.89,0,0,65
-18,-14,1026,NE,1.78,0,0,75
-20,-15,1025,NE,2.67,0,0,257
-20,-15,1025,NW,0.89,0,0,174
-20,-16,1025,NW,1.78,0,0,164
-20,-16,1024,NW,3.57,0,0,161
-21,-17,1024,NW,6.7,0,0,137
-19,-14,1023,NW,10.72,0,0,92
-21,-17,1023,NW,13.85,0,0,64
-19,-15,1024,NW,15.64,0,0,87
-19,-14,1024,NW,18.77,0,0,87
-18,-10,1024,NW,22.79,0,0,84
-17,-9,1023,NW,24.58,0,0,95
-16,-6,1023,NW,26.37,0,0,79
-17,-5,1022,NW,28.16,0,0,75
-16,-5,1022,NW,29.95,0,0,79
-15,-4,1022,NW,33.08,0,0,86
-16,-4,1023,cv,0.89,0,0,72
-15,-5,1025,SE,1.79,0,0,89
-14,-3,1026,NW,5.81,0,0,94
-16,-3,1027,NW,11.62,0,0,69
-15,-4,1029,NW,20.56,0,0,49
-16,-5,1031,NW,24.58,0,0,33
-17,-6,1032,NE,3.13,0,0,27
-18,-6,1033,NE,8.05,0,0,20
-19,-7,1034,NE,13.86,0,0,36
-17,-8,1035,NW,5.81,0,0,37
-18,-10,1035,NW,11.62,0,0,30
-19,-10,1036,NW,14.75,0,0,18
-19,-9,1036,NW,19.67,0,0,21
-19,-9,1036,NE,7.15,0,0,13
-20,-9,1037,NE,12.96,0,0,23
-19,-9,1037,NE,18.77,0,0,26
-19,-8,1038,NE,22.79,0,0,27
-19,-8,1039,NE,28.6,0,0,30
-19,-7,1039,NE,35.75,0,0,28
-18,-6,1039,NE,41.56,0,0,26
-18,-5,1039,NE,45.58,0,0,26
-17,-4,1038,NW,1.79,0,0,31
-16,-3,1037,cv,0.89,0,0,35
-17,-3,1037,cv,1.78,0,0,36
-17,-2,1037,cv,2.23,0,0,37
-15,-5,1036,SE,0.89,0,0,64
-15,-6,1036,cv,0.89,0,0,83
-15,-6,1037,cv,1.78,0,0,91
-14,-6,1037,SE,1.79,0,0,90
-14,-8,1036,SE,3.58,0,0,102
-14,-10,1037,cv,0.89,0,0,94
-15,-11,1036,cv,1.78,0,0,87
-15,-11,1036,cv,2.67,0,0,141
-16,-13,1036,NE,0.89,0,0,211
-16,-12,1036,cv,0.89,0,0,242
-16,-13,1035,NE,0.89,0,0,271
-15,-12,1035,NE,1.78,0,0,249
-14,-10,1034,NW,1.79,0,0,200
-15,-10,1034,NW,2.68,0,0,147
-15,-11,1034,NW,4.47,0,0,114
-15,-11,1034,NW,6.26,0,0,102
-14,-9,1034,NW,8.05,0,0,108
-14,-9,1034,NW,9.84,0,0,135
-13,-6,1034,cv,0.89,0,0,120
-13,-5,1033,NW,1.79,0,0,148
-12,-4,1031,cv,0.89,0,0,127
-12,-3,1031,cv,1.78,0,0,128
-12,-3,1030,cv,2.67,0,0,140
-11,-3,1030,cv,3.56,0,0,148
-11,-4,1031,NE,0.89,0,0,150
-12,-7,1031,cv,0.89,0,0,154
-12,-7,1032,cv,1.78,0,0,197
-12,-8,1032,cv,2.23,0,0,235
-12,-9,1032,cv,3.12,0,0,261
-13,-11,1032,NW,0.89,0,0,269
-14,-11,1032,NW,2.68,0,0,266
